Student_id,COMPILER DESIGN,OBJECT ORIENTED ANALYSIS AND DESIGN,MACHINE LEARNING,"ARTIFICIAL INTELLIGENCE TOOLS AND TECHNIQUES
","AWS CLOUD PRACTITIONER
",MACHINE LEARNING LAB,OBJECT ORIENTED ANALYSIS AND DESIGN,COMPILER DESIGN LAB,WEB DESIGN AND DEVELOPMENT,COMMUNITY SERVICE PROJECT,FULL STACK DEVELOPMENT,SGPA,CGPA
21A21A05J7,B,A,B,C,A,A,A+,A+,A+,A+,,8.88,8.2
22A25A0501,D,B,C,C,,A,A+,A+,A+,A+,B,8.29,8.02
22A25A0502,A+,A,A,A,,A,A+,A+,A+,A+,A,9.47,8.98
22A25A0503,C,B,A,B,,A,A+,A,A,A+,A,8.75,8.23
22A25A0504,D,B,B,C,,A,A+,A,B,A+,A,8.31,8.18
22A25A0505,C,C,B,D,,A,A,A+,A,A+,C,8.04,7.98
22A25A0506,D,E,C,D,,A+,A,A,A+,A+,B,7.76,7.22
22A25A0507,D,C,C,D,,A+,A,A+,A+,A+,B,8.06,8.09
22A25A0508,C,C,C,B,D,A+,A+,A+,A+,A+,,8.24,7.66
22A25A0509,A,A,A,B,A,A+,A+,A+,A+,A+,,9.29,8.97
22A25A0510,B,A,A,A+,,A+,A+,A+,A+,A+,A,9.41,9.08
22A25A0511,A,A+,A,A,,A+,A+,A+,A+,A+,A,9.53,9.36
22A25A0512,C,B,C,C,,A,A+,A+,A+,A+,C,8.29,8.15
22A25A0513,C,A,C,B,,A,A+,A+,A,A+,B,8.57,8.44
22A25A0514,A,A+,A,A+,,A+,A+,A+,A+,A+,A,9.65,9.33
22A25A0515,B,A,B,B,,A,A+,A+,A+,A+,B,8.88,9.15
22A25A0516,B,B,B,B,,A,A+,A+,A+,A+,A,8.88,8.73
22A25A0517,F,D,C,D,D,A,A+,A+,A,A+,,,
22A25A0518,B,B,B,C,B,A,A+,A+,A,A+,,8.57,8.21
